x,y,urban,alarm,firetype,heatsource,objignited,day,time,dayweek,label
7.245,11.172,1,1,3,7,7,434,15.6666666666667,3,suspicious
9.977,11.782,0,1,2,7,9,430,22.0333333333333,6,suspicious
8.505,10.656,1,1,1,3,8,382,12.4333333333333,7,other
0.854,11.447,0,1,1,NA,6,420,13.7,3,other
8.653,12.1,1,1,5,NA,NA,437,12.7166666666667,6,other
6.418,11.64,1,1,5,NA,NA,440,7.9,2,other
5.79,15.506,0,4,6,NA,NA,444,21.3,6,other
6.752,10.358,1,1,1,NA,NA,456,17.55,4,other
8.108,9.257,1,1,5,NA,NA,443,16.45,5,other
5.367,17.17,0,1,3,7,7,444,19.6666666666667,6,other
8.673,12.131,1,1,1,5,7,456,16.0166666666667,4,other
14.835,7.83,0,1,6,NA,NA,467,8.61666666666667,1,other
6.877,10.227,1,1,1,3,1,486,21.2666666666667,6,other
6.269,12.289,1,1,3,7,7,476,20.55,3,suspicious
1.24,13.109,0,1,3,1,7,479,14.4666666666667,6,other
6.756,10.732,1,1,1,5,7,482,13.2166666666667,2,other
8.277,11.141,1,1,3,7,7,529,17.5,7,suspicious
8.192,12.075,1,1,1,NA,9,543,4.51666666666667,7,suspicious
15.826,12.771,0,1,2,7,9,389,20.9666666666667,7,suspicious
7.896,10.504,1,1,5,NA,NA,453,0.45,1,suspicious
7.773,12.673,1,1,1,NA,NA,559,17.6833333333333,2,other
4.858,16.824,0,1,3,7,7,580,6.23333333333333,2,suspicious
7.368,11.903,1,1,1,7,4,584,19.05,6,other
15.018,2.979,0,1,3,5,7,594,15.5166666666667,2,other
7.615,8.818,1,1,5,NA,NA,582,12.1833333333333,4,suspicious
13.9,21.531,0,1,5,NA,NA,607,22.0666666666667,1,other
8.765,11.828,1,1,1,7,4,620,0.85,7,suspicious
6.363,10.281,1,1,1,5,8,503,17.2,2,other
6.445,12.304,1,1,5,NA,NA,483,12.5,3,other
6.485,9.792,1,4,2,7,9,546,20.9166666666667,3,suspicious
3.802,15.113,0,1,1,NA,NA,553,18.4833333333333,3,other
8.636,12.215,1,1,5,NA,NA,409,12.5833333333333,6,other
8.356,15.808,0,2,3,NA,7,428,13.1166666666667,4,other
9.476,14.04,0,1,3,7,7,510,15.1666666666667,2,suspicious
5.967,9.504,0,6,3,1,7,634,0.35,7,other
8.215,10.433,1,4,2,7,2,662,0.116666666666667,7,suspicious
5.893,17.113,0,1,3,7,7,527,17.4166666666667,5,other
5.056,18.027,0,1,3,7,7,527,17.7333333333333,5,other
0.854,11.447,0,1,1,2,6,530,22.6833333333333,1,other
6.475,11.908,1,1,5,NA,NA,527,23.6833333333333,5,other
6.835,8.09,1,1,1,4,6,528,6.9,6,other
8.123,11.99,1,1,6,NA,NA,570,2.61666666666667,6,suspicious
8.667,11.378,1,1,3,7,7,571,0.65,7,suspicious
7.222,12.896,1,1,3,7,7,433,19.15,2,suspicious
11.82,12.415,0,1,5,NA,NA,460,10.6166666666667,1,other
6.903,10.235,1,1,2,7,2,634,1.76666666666667,7,suspicious
8.073,12.099,1,1,1,NA,9,641,16.6666666666667,7,suspicious
9.998,10.008,0,1,2,4,6,653,7.88333333333333,5,other
7.551,12.56,1,1,1,5,7,672,10.4833333333333,3,other
8.483,11.192,1,1,2,7,9,563,21.1166666666667,6,suspicious
7.83,10.603,1,1,1,5,7,567,18.3,3,other
7.98,12.05,1,1,5,NA,NA,592,10.9333333333333,7,other
7.076,10.244,1,1,1,7,3,596,5.55,4,other
8.826,12.268,1,1,5,NA,NA,556,22,6,other
8.611,19.353,0,1,2,7,9,523,16.1,1,suspicious
7.925,11.638,1,5,1,2,6,543,17.0333333333333,7,other
8.279,10.188,1,4,1,8,7,507,9.75,6,other
7.886,10.267,1,1,1,NA,NA,566,17.9833333333333,2,other
8.414,11.189,1,1,2,7,9,569,22.1666666666667,5,other
6.127,11.979,1,1,5,NA,NA,584,4.41666666666667,6,suspicious
7.685,8.856,1,1,3,7,7,677,22.9166666666667,1,suspicious
8.261,12.081,1,1,1,7,1,680,16.5833333333333,4,other
6.691,9.305,1,1,1,7,3,599,9.71666666666667,7,other
5.394,12.157,1,1,1,7,7,667,17.25,5,other
6.984,10.607,1,1,3,7,7,617,19.2333333333333,4,suspicious
8.945,12.002,1,1,6,NA,NA,546,0.4,3,other
7.724,12.733,1,1,1,5,7,561,23.2833333333333,4,other
9.077,12.586,1,1,1,5,5,583,0.4,5,other
3.865,14.591,0,1,3,1,7,598,11.6833333333333,6,other
7.774,10.799,1,4,1,7,3,707,7.35,3,other
8.614,11.589,1,1,3,7,7,699,14.15,2,suspicious
7.538,10.505,1,1,1,5,1,664,11.4333333333333,2,other
12.948,14.657,0,1,3,7,7,588,12.55,3,other
7.979,12.05,1,1,5,NA,NA,724,0.35,6,other
6.739,10.049,1,1,6,NA,NA,729,14.6333333333333,4,other
6.997,11.451,1,1,6,NA,NA,729,21.3333333333333,4,other
14.225,20.98,0,1,6,NA,NA,637,16.8166666666667,3,other
8.039,11.442,1,1,3,7,7,640,19.2833333333333,6,other
7.7,10.88,1,1,3,7,7,650,21.7333333333333,2,suspicious
6.229,13.073,1,1,2,2,7,652,18.6166666666667,4,other
0.17,11.693,0,1,3,1,7,655,19.9,7,other
7.896,12.023,1,1,5,NA,NA,661,2.11666666666667,6,other
8.634,11.16,1,1,5,NA,NA,662,16.3,7,other
6.87,12.65,1,5,1,4,6,542,10.4,6,other
7.979,12.05,1,1,5,NA,NA,723,23.1666666666667,5,other
7.711,11.103,1,1,1,6,1,668,19.5833333333333,6,suspicious
6.897,10.976,1,1,6,NA,NA,632,0.166666666666667,5,other
8.505,10.656,1,1,1,5,7,623,16.1666666666667,3,other
6.495,12.601,1,1,1,5,7,661,17.4666666666667,6,other
